2026-03-20 22:11:32,873 | INFO | Placing order: BTCUSDT BUY MARKET 0.001 None
2026-03-20 22:11:34,816 | INFO | Response: {}
2026-03-20 22:12:47,616 | INFO | Placing order: BTCUSDT BUY MARKET 0.001 None
2026-03-20 22:12:49,230 | INFO | Response: {}
2026-03-20 22:16:51,148 | INFO | Placing order: BTCUSDT BUY MARKET 0.001 None
2026-03-20 22:16:53,420 | INFO | Response: {}
2026-03-20 22:17:31,603 | INFO | Placing order: BTCUSDT SELL LIMIT 0.001 30000.0
2026-03-20 22:17:35,055 | INFO | Response: {}
2026-03-20 22:23:15,676 | INFO | Placing order: BTCUSDT BUY MARKET 0.001 None
2026-03-20 22:23:17,945 | INFO | Response: {}
2026-03-20 22:23:27,987 | INFO | Placing order: BTCUSDT BUY MARKET 0.001 None
2026-03-20 22:23:30,297 | INFO | Response: {}
